,Field,Type,Default Aggregation,Field Calculation,Dup_Calc,Dup_Field
104,PY Label (All),string,,"// Prior Year Label
IFNULL(
CASE [Parameters].[Parameter 2]
    WHEN ""Discount"" THEN 
        STR(ROUND(100*(SUM([PY Total AWP (copy 2)])-SUM([PY Total Ingredient Cost (copy 2)]))/SUM([PY Total AWP (copy 2)]), 1)) + ""%""
    WHEN ""GUR"" THEN 
        IF LEFT(STR(ROUND(100*[PY Claims PMPY (copy)], 1)), 2) = "".""
        THEN LEFT(STR(ROUND(100*[PY Claims PMPY (copy)], 1)), 3) + ""%""
        ELSE LEFT(STR(ROUND(100*[PY Claims PMPY (copy)], 1)), 4) + ""%""
        END
    WHEN ""IC/Rx"" THEN 
        IF LEN(STR(ROUND(SUM([PY Total Scripts (copy)])/SUM([CY Total Scripts (copy)]), 0))) > 3
        THEN ""$"" + LEFT(STR(ROUND(SUM([PY Total Scripts (copy)])/SUM([CY Total Scripts (copy)]), 2)),1) + "","" + RIGHT(STR(ROUND(SUM([PY Total Scripts (copy)])/SUM([CY Total Scripts (copy)]), 2)), len(STR(ROUND(SUM([PY Total Scripts (copy)])/SUM([CY Total Scripts (copy)]),2)))-1)
        ELSE ""$"" + STR(ROUND(SUM([PY Total Scripts (copy)])/SUM([CY Total Scripts (copy)]), 2))
        END
    WHEN ""IC/PMPM"" THEN ""$"" + STR(ROUND([CY IC PMPM (copy)], 2))
    WHEN ""Total Claims"" THEN
        IF LEN(STR(ROUND(SUM([CY Total Scripts (copy)]), -3))) > 6
        THEN LEFT(STR(SUM([CY Total Scripts (copy)])), LEN(STR(SUM([CY Total Scripts (copy)]))) - 6) + "","" + LEFT(RIGHT(STR(SUM([CY Total Scripts (copy)])), 6),3) + "","" + RIGHT(STR(ROUND(SUM([CY Total Scripts (copy)]), 0)), 3)
        ELSEIF LEN(STR(ROUND(SUM([CY Total Scripts (copy)]), -3))) > 3
        THEN LEFT(STR(SUM([CY Total Scripts (copy)])), LEN(STR(ROUND(SUM([CY Total Scripts (copy)]), 0))) - 3) + "","" + RIGHT(STR(ROUND(SUM([CY Total Scripts (copy)]), 0)), 3)
        ELSE RIGHT(STR(ROUND(SUM([CY Total Scripts (copy)]), 0)), 3)
        END
    WHEN ""IC Total$"" THEN
        IF LEN(STR(ROUND(SUM([PY Total Scripts (copy)]), 0))) > 9
        THEN ""$"" + MID(STR(ROUND(SUM([PY Total Scripts (copy)]),0)),1,LEN(STR(ROUND(SUM([PY Total Scripts (copy)]),0)))-9) + "","" + MID(STR(ROUND(SUM([PY Total Scripts (copy)]),0)),LEN(STR(ROUND(SUM([PY Total Scripts (copy)]),0)))-8, 3) + "","" + MID(STR(ROUND(SUM([PY Total Scripts (copy)]),0)),LEN(STR(ROUND(SUM([PY Total Scripts (copy)]),0)))-5, 3)+ "","" + MID(STR(ROUND(SUM([PY Total Scripts (copy)]),0)),LEN(STR(ROUND(SUM([PY Total Scripts (copy)]),0)))-2, 3) 
        ELSEIF LEN(STR(ROUND(SUM([PY Total Scripts (copy)]), -3))) > 6
        THEN ""$"" + LEFT(STR(SUM([PY Total Scripts (copy)])), LEN(STR(ROUND(SUM([PY Total Scripts (copy)]),0))) - 6) + "","" + LEFT(RIGHT(STR(ROUND(SUM([PY Total Scripts (copy)]),0)), 6),3) + "","" + RIGHT(STR(ROUND(SUM([PY Total Scripts (copy)]), 0)), 3)
        ELSE ""$"" + LEFT(STR(ROUND(SUM([PY Total Scripts (copy)]), -3)), LEN(STR(ROUND(SUM([PY Total Scripts (copy)]), -3))) - 3) + "","" + RIGHT(STR(ROUND(SUM([PY Total Scripts (copy)]), 0)), 3)
        END
    WHEN ""Rx/PMPY"" THEN str(ROUND([Rx PMPY - Actual (CY) (copy)],1))
END, ""N/A"")",,
152,PY Members,real,,"//IF [Year Label (Executive Summary)]=""Prior Year"" AND DATEPART('month', [Filled Month])<=DATEPART('month',[Thru Date]) THEN 
IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND 
    DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN 'YTD'
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) AND 
    DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN 'PYTD'
ELSEIF YEAR([ThruDate])-2=DATEPART('year',[FilledMonth]) AND 
    DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN 'PPYTD'
END = 'PYTD' THEN
   [Act_Members]
END",,
173,PY Members (LOD),real,,"{ FIXED [Population], [FilledMonth], [Contract], [PBP]:AVG([CY Members (copy)])}",,
319,PY Rebates PMPM (Actual),real,,"SUM(IF IF YEAR([Quarter]) = YEAR([ThruDate]) AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'YTD'
ELSEIF YEAR([Quarter]) = YEAR([ThruDate])-1 AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'PYTD'
ELSE
    'PPYTD'
END = 'PYTD' THEN [Rebates] END)/
(SUM({FIXED [Client],[Population], IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END, [Quarter]: AVG(IF IF YEAR([Quarter]) = YEAR([ThruDate]) AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'YTD'
ELSEIF YEAR([Quarter]) = YEAR([ThruDate])-1 AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'PYTD'
ELSE
    'PPYTD'
END = 'PYTD' THEN [Population_Members] END)})*3)",,
226,PY Total AWP (Discount),real,,"IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Prior Year"" AND DATEPART('month', [FilledMonth])<=DATEPART('month',[ThruDate]) THEN
IF [Exclude]=""N"" THEN [Act_AWP] END END",,
205,PY Total Brand AWP,real,,"IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Prior Year"" AND DATEPART('month', [FilledMonth])<=DATEPART('month',[ThruDate]) AND [GenericFlag]=""N"" THEN
IF [Exclude]=""N"" THEN [Act_AWP] END END",,
126,PY Total Brand Ingredient Cost,real,,"IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Prior Year"" AND DATEPART('month', [FilledMonth])<=DATEPART('month',[ThruDate]) AND [GenericFlag]=""N"" THEN
IF [Exclude]=""N"" THEN [Act_IngCost] END END",,
177,PY Total Generic AWP,real,,"IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Prior Year"" AND DATEPART('month', [FilledMonth])<=DATEPART('month',[ThruDate]) AND [GenericFlag]=""Y"" THEN
IF [Exclude]=""N"" THEN [Act_AWP] END END",,
160,PY Total Generic Ingredient Cost,real,,"IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Prior Year"" AND DATEPART('month', [FilledMonth])<=DATEPART('month',[ThruDate]) AND [GenericFlag]=""Y"" THEN
IF [Exclude]=""N"" THEN [Act_IngCost] END END",,
138,PY Total Generic Scripts,real,,"IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Prior Year"" AND DATEPART('month', [FilledMonth])<=DATEPART('month',[ThruDate]) AND [GenericFlag]=""Y"" THEN
[Act_Claims] END",,
195,PY Total Ingredient Cost,real,,"IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Prior Year"" AND DATEPART('month', [FilledMonth])<=DATEPART('month',[ThruDate]) THEN
[Act_IngCost] END",,
278,PY Total Ingredient Cost (Discount),real,,"IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Prior Year"" AND DATEPART('month', [FilledMonth])<=DATEPART('month',[ThruDate]) THEN
IF [Exclude]=""N"" THEN [Act_IngCost] END END",,
265,PY Total Scripts,real,,"//IF [Year Label (Executive Summary)]=""Prior Year"" AND DATEPART('month', [Filled Month])<=DATEPART('month',[Thru Date]) THEN
//[Act Claims] END

IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND 
    DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN 'YTD'
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) AND 
    DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN 'PYTD'
ELSEIF YEAR([ThruDate])-2=DATEPART('year',[FilledMonth]) AND 
    DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN 'PPYTD'
END = 'PYTD' THEN [Act_Claims] END",,
341,Percent Difference,real,,ABS(([Ingredient Cost per Script after Rebates (copy)]-[Ingredient Cost per Selector after Rebates (copy)]))/[Ingredient Cost per Selector after Rebates (copy)],,
92,Pharmacy ,integer,,IF LOWER([Pharmacy]) = 'x' THEN 1 END,,
543,Pharmacy County,string,,"IFNULL([PharmacyCounty], 'UNKNOWN')",,
564,Pharmacy County - Nonmasked,string,,,,
563,Pharmacy State,string,,,,
587,Pharmacy State-County,string,,[PharmacyState]+[PharmacyCounty],,
494,Pharmacy Type Color,string,,"IF CONTAINS(UPPER([SpecialtyType]), ""SPECIALTY"") THEN ""Specialty"" ELSE ""Retail"" END",,
212,Population,string,,,,
288,Population Members,real,,,,
330,Population Members (LOD),real,,"{FIXED  [Client], [Population], YEAR([Quarter]) : AVG([Population_Members])}

//Membership is provided at a quarterly client level by population or contract/PBP.  
//Avg/Min/Max would all provide same number.",,
268,Population or PBP,string,,"IF [Parameters].[Parameter 1]=""Only Projected"" THEN [Population] ELSE [Contract] + "" "" + [PBP]+"""" END",,
2,Postal Code,integer,,,,
486,Prior Month Flag,boolean,,"IF ATTR(MONTH([FilledMonth])) = MAX(MONTH([FilledMonth])) - 1 THEN
    TRUE
END",,
474,Prior Seleceted Year,integer,,[Parameters].[Parameter 5]-1,,
19,Product ID,string,,,,
0,Product Name,string,,,,
12,Profit,real,,,,
52,Profit %,real,,SUM([Profit])/SUM([Sales]),,1
4,Profit (bin),integer,,[Profit],,
18,Profit Bin Size,integer,,200,,
7,Profit Ratio,real,,SUM([Profit])/SUM([Sales]),,1
300,Projected Claims,real,,,,
322,Projected Ingredient Cost,real,,,,
296,Projected Members,real,,,,
305,Projected Rebate MPM,real,,,,
310,Projected Rebate Rx,real,,,,
424,Projection AWP,real,,,,
365,Projection Claims,real,,,,
295,Projection Claims (LOD),real,,"{FIXED [Client],[Population],YEAR([Quarter]),[CORE]:AVG([Projection_Claims])}

//Projection claims are provided at a yearly client level by population.  
//Avg/Min/Max would all provide same number.",,
364,Projection Claims Adj,real,,"[Projection_Claims]*DATEDIFF('day', DATE('1-1-' + STR(YEAR([AsOf]))), [AsOf])/365",,
312,Projection Filter,boolean,,"IIF([Parameters].[Parameter 1]=""Only Projected"",TRUE,FALSE)",,
349,Projection IngCost,real,,,,
374,Projection IngCost Adj,real,,"[Projection_IngCost]*DATEDIFF('day', DATE('1-1-' + STR(YEAR([AsOf]))), [AsOf])/365",,
389,Projection Members,real,,,,
302,Projection Population Membership (LOD),real,,"{FIXED [Client],[Population],YEAR([Quarter]):AVG([Projection_Members])}

//Projection membership is provided at a yearly client level by population.  
//Avg/Min/Max would all provide same number.",,
327,Projection Rebate PMPM (LOD),real,,"{FIXED [Client],[Population],YEAR([Quarter]):AVG([Projection_Rebate_PMPM])*AVG([Projection_Members])}

//Projection Rebate PMPM is provided at a yearly client level by population.  
//Avg/Min/Max would all provide same number.",,
308,Projection Rebate by Claim (LOD),real,,"{FIXED [Client],[Population],YEAR([Quarter]):AVG([Projection_Rebate_Rx])}

//Projection Rebate per Claim is provided at a yearly client level by population.  
//Avg/Min/Max would all provide same number.",,
282,Projection Rebate by Claim (LOD) (Weighted),real,,"{FIXED [Client],[Population],YEAR([Quarter]):AVG([Projected Rebate PMPM (LOD) (copy)])*SUM([Projected Membership (LOD) (copy 3)])}

//Projection Rebate by Claim is multiplied by projected claims (for weighted average purposes).
//This field should not be exposed on reporting because it's arbitrary without dividing by total projection claims.",,
16,Quantity,integer,,,,
332,Quarter,date,,,,
530,Rank,integer,,"RANK(CASE [Parameters].[Parameter 4]
    WHEN 'Total Ingredient Cost' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_IngCost] END)
    WHEN 'Ingredient Cost PMPM' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_IngCost] END) / MAX(MONTH([FilledMonth]))
/ 
[Membership (LOD) (copy)]
//SUM([Membership (LOD)])
//IF MAX(YEAR([FilledMonth])) = [Year View] THEN [CY Avg Membership (LOD)] ELSE [PY Avg Membership (LOD)] END
    WHEN 'Discount %' THEN (SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_AWP] END)-SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_IngCost] END)) / SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_AWP] END)
    WHEN 'Specialty%/TC' THEN [Specialty % of Total Spend (copy)]
    WHEN 'Total Claims' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_Claims] END)
    WHEN 'Claims PMPY' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_Claims] END)
/ 
SUM({FIXED [Client], [Contract], [PBP], [FilledMonth] : AVG([Act_Members])})
    WHEN 'Ingredient Cost PC' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_IngCost] END)/ SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_Claims] END)
END)",,
489,Rank (Pharmacy),integer,,RANK_UNIQUE(([Metric Selector (copy 2)])),,
579,Rank - Geo,integer,,"RANK_UNIQUE(CASE [Parameters].[Parameter 6]
    WHEN 'Total Claims' THEN SUM([Act_Claims])
    WHEN 'Total Ingredient Cost' THEN SUM([Act_IngCost])
    WHEN 'Ingredient Cost Per Claim' THEN SUM([Act_IngCost])/SUM([Act_Claims])
    WHEN 'Discount %' THEN 1-(SUM([Act_IngCost])/SUM([Act_AWP]))
    WHEN 'Generic Utilization Rate' THEN ZN(
SUM(IF CONTAINS(UPPER([ClaimType]), 'GENERIC') THEN [Act_Claims] END)
/
SUM([Act_Claims])
)
END)",,
559,Rank - Pharmacy,integer,,"RANK_UNIQUE(RUNNING_SUM([Metric Selector (copy)]), 'asc')",,
309,Rebate PMPM (% Difference),real,,([Rebate per Claim (Actual) (copy)]-[Rebate PMPM (Actual) (copy)])/[Rebate PMPM (Actual) (copy)],,
329,Rebate PMPM (% Difference) (Down),string,,"IIF([Rebate PMPM (% Difference) (Up Arrow) (copy)]<0, ""▼ ""+STR(ROUND([Rebate PMPM (% Difference) (Up Arrow) (copy)]*100,1))+""%"","""")",,
328,Rebate PMPM (% Difference) (Up),string,,"IIF([Rebate PMPM (% Difference) (Up Arrow) (copy)]>=0, ""▲ ""+STR(ROUND([Rebate PMPM (% Difference) (Up Arrow) (copy)]*100,1))+""%"","""")",,
339,Rebate PMPM (% Difference) (Up/Down),string,,"IF [Rebate PMPM (% Difference) (Up Arrow) (copy)] < 0
THEN ""▲ "" + STR(ROUND(ABS([Rebate PMPM (% Difference) (Up Arrow) (copy)])*100,1)) + ""%""
ELSEIF [Rebate PMPM (% Difference) (Up Arrow) (copy)] > 0
THEN ""▼ "" + STR(ROUND(ABS([Rebate PMPM (% Difference) (Up Arrow) (copy)])*100,1))+""%""
ELSE STR(ROUND([Rebate PMPM (% Difference) (Up Arrow) (copy)]*100,1))+""%""
END",,
325,Rebate PMPM (Actual),real,,SUM([Rebates])/SUM([Projected Membership (LOD) (copy 2)])/3,,
323,Rebate PMPM (Projected),real,,"AVG([Projected Membership (LOD) (copy)])/AVG({FIXED [Client],[Population],YEAR([Quarter]):AVG([Projection_Members])}

//Projection membership is provided at a yearly client level by population.  
//Avg/Min/Max would all provide same number.)",,
284,Rebate Year,integer,,YEAR([Quarter]),,
291,Rebate per Claim (% Difference),real,,(SUM([Rebates])/SUM([Total_Claims])-[Rebate per Claim (copy)])/[Rebate per Claim (copy)],,
281,Rebate per Claim (Actual),real,,SUM([Rebates])/SUM([Total_Claims]),,
333,Rebate per Claim (Projected),real,,SUM([Projected Rebate Rx (LOD) (copy)])/SUM([Projected Membership (LOD) (copy 3)]),,
